Sent_ID,Word_ID,Word,frequency,length,surprisal,role
0,0,with,6.85,4,11.077198914614883,function
0,1,his,6.51,3,13.605298478878343,function
0,2,interest,5.17,8,9.364974727085537,content
0,3,in,7.27,2,1.6415914287679438,function
0,4,race,5.08,4,14.303717272309795,content
0,5,cars,4.89,4,1.3263691575244005,content
0,6,he,6.69,2,6.967528318890742,function
0,7,formed,4.68,6,9.217415676437057,content
0,8,a,7.36,1,4.311500491678888,function
0,9,second,5.63,6,16.801754269202434,content
0,10,company,5.6,7,4.775395831191875,content
0,11,the,7.73,3,8.595136354264984,function
0,12,Henry,4.74,5,12.496127329015813,content
0,13,Ford,4.5,4,1.2182784054224272,content
0,14,Company,5.6,7,1.7540756496688588,content
1,0,during,5.72,6,14.081543204619184,function
1,1,this,6.82,4,4.490668233729443,function
1,2,period,5.21,6,9.134420288783682,content
1,3,he,6.69,2,12.684661590197658,function
1,4,personally,4.57,10,18.154121270135835,content
1,5,drove,4.36,5,10.563833152542173,content
1,6,his,6.51,3,2.3719045767845546,function
1,7,Quadricycle,1.21,11,25.984082733141065,content
1,8,to,7.43,2,3.4220000300410107,function
1,9,victory,4.73,7,20.98696927621397,content
1,10,in,7.27,2,3.0503087172391967,function
1,11,a,7.36,1,12.206664017279223,function
1,12,race,5.08,4,12.657691958819957,content
1,13,against,5.68,7,2.122494992538008,function
1,14,Alexander,4.4,9,13.030293059844835,content
1,15,Winton,2.81,6,6.7102858708019735,content
1,16,a,7.36,1,7.182610509990374,function
1,17,wellknown,1.57,9,14.262277966593075,content
1,18,driver,4.75,6,7.1456404314303015,content
1,19,and,7.41,3,3.1615753009720025,function
1,20,the,7.73,3,6.398227908351656,function
1,21,heavy,4.96,5,11.397021979742982,content
1,22,favorite,4.97,8,4.52817730591732,content
1,23,on,6.91,2,5.513952967577594,function
1,24,October,5.11,7,9.627622503899596,content
1,25,10,5.32,2,2.7999064491318695,content
1,26,1901,3.74,4,11.335364135616855,content
2,0,ford,4.5,4,14.844730664365569,content
2,1,was,6.82,3,17.48911113853039,function
2,2,forced,4.83,6,12.932677083076312,content
2,3,out,6.38,3,6.117784742687519,function
2,4,of,7.4,2,0.5691243433002656,function
2,5,the,7.73,3,2.0833491614618698,function
2,6,company,5.6,7,8.256247980392837,content
2,7,by,6.66,2,4.112926915235577,function
2,8,the,7.73,3,1.8622204043232031,function
2,9,investors,4.34,9,11.724097553257966,content
2,10,including,5.52,9,13.416257900772356,content
2,11,Henry,4.74,5,10.52104898549137,content
2,12,M,5.39,1,5.516476640996355,function
2,13,Leland,3.19,6,36.25159007921626,content
2,14,in,7.27,2,7.89925464889906,function
2,15,1902,3.75,4,6.819424427204329,content
2,16,and,7.41,3,4.889661792355728,function
2,17,the,7.73,3,4.711181636943323,function
2,18,company,5.6,7,4.857798222665074,content
2,19,was,6.82,3,1.505292770202056,function
2,20,reorganized,3.0,11,2.607679118496722,content
2,21,as,6.77,2,1.359283627203152,function
2,22,Cadillac,3.48,8,5.534587746997753,content
3,0,in,7.27,2,8.283423303020971,function
3,1,1891,3.66,4,25.050875288543516,content
3,2,Ford,4.5,4,10.770423829242443,content
3,3,became,5.15,6,8.82495350294259,content
3,4,an,6.53,2,4.034043632764333,function
3,5,engineer,4.5,8,4.631511243623658,content
3,6,with,6.85,4,3.0359158331537897,function
3,7,the,7.73,3,0.9793545174076603,function
3,8,Edison,3.57,6,4.726182947277361,content
3,9,Illuminating,3.21,12,8.352557332407573,content
3,10,Company,5.6,7,0.2798427742299751,content
3,11,and,7.41,3,3.1056922902965467,function
3,12,after,6.11,5,8.96267222225665,function
3,13,his,6.51,3,5.393710265330956,function
3,14,promotion,4.41,9,7.7445507510031355,content
3,15,to,7.43,2,1.4642991575250477,function
3,16,Chief,5.11,5,2.421816177839403,content
3,17,Engineer,4.5,8,1.0700680349772989,content
3,18,in,7.27,2,2.252885359116155,function
3,19,1893,3.68,4,3.7694283314287387,content
3,20,he,6.69,2,1.60720642143299,function
3,21,had,6.33,3,6.11626028847027,function
3,22,enough,5.54,6,12.002886589786105,content
3,23,time,6.29,4,7.257284689064402,content
3,24,and,7.41,3,1.1081463052460376,function
3,25,money,5.64,5,1.5589071577299805,content
3,26,to,7.43,2,1.6081751997053002,function
3,27,devote,3.53,6,13.436597085011345,content
3,28,attention,5.11,9,5.957824367050624,content
3,29,to,7.43,2,0.5066194416229763,function
3,30,his,6.51,3,1.148608577523205,function
3,31,personal,5.2,8,5.97627948134941,content
3,32,experiments,4.2,11,7.590696700001993,content
3,33,on,6.91,2,7.404062250547361,function
3,34,internal,4.66,8,11.762105375133347,content
3,35,combustion,3.57,10,0.15792534658128352,content
3,36,engines,4.35,7,1.7668402302318,content
4,0,these,6.04,5,14.191060380827413,function
4,1,experiments,4.2,11,14.410921625829221,content
4,2,culminated,3.23,10,21.834516290000373,content
4,3,in,7.27,2,1.0229810124867273,function
4,4,1896,3.7,4,16.595329684747238,content
4,5,with,6.85,4,1.8842580892221126,function
4,6,the,7.73,3,1.7175628729774302,function
