Sent_ID,Word_ID,Word,frequency,length,surprisal,role
0,0,he,6.69,2,16.22059049540683,function
0,1,won,5.2,3,17.566321717739342,function
0,2,the,7.73,3,17.2526088522311,function
0,3,Gold,5.17,4,17.149148217055654,content
0,4,Medal,4.39,5,15.906314902664963,content
0,5,of,7.4,2,16.339656148390965,function
0,6,the,7.73,3,15.691077927179554,function
0,7,Royal,4.85,5,15.223846468205132,content
0,8,Astronomical,3.49,12,16.400606799856742,content
0,9,Society,5.17,7,13.26037970533634,content
0,10,in,7.27,2,15.559498816518644,function
0,11,1892,3.67,4,15.258647501572522,content
0,12,and,7.41,3,14.640217151126759,function
0,13,also,6.19,4,17.362251231809154,content
0,14,later,5.49,5,15.399323806533472,content
0,15,served,4.81,6,16.424538529689606,content
0,16,as,6.77,2,17.733475095765925,function
0,17,president,5.45,9,18.05504137704317,content
0,18,of,7.4,2,16.136113993164226,function
0,19,that,7.01,4,14.454478639917339,function
0,20,organization,4.92,12,32.5216578645278,content
1,0,dole,3.33,4,33.97665310460648,content
1,1,was,6.82,3,15.786237991693756,function
1,2,twice,4.84,5,15.531216613549557,content
1,3,decorated,3.94,9,14.841035101163829,content
1,4,for,7.01,3,15.457957507726828,function
1,5,heroic,3.84,6,15.93360648556508,content
1,6,achievement,4.36,11,15.799333438661055,content
1,7,receiving,4.59,9,14.588323793986019,content
1,8,two,6.1,3,17.05852849452423,content
1,9,Purple,4.32,6,16.637981382161215,content
1,10,Hearts,4.44,6,15.78814218360411,content
1,11,for,7.01,3,15.458260197192345,function
1,12,his,6.51,3,14.864843003488069,function
1,13,injuries,4.44,8,16.058229241963893,content
1,14,and,7.41,3,16.94890400114186,function
1,15,the,7.73,3,15.339421561307352,function
1,16,Bronze,4.2,6,15.108331912996013,content
1,17,Star,5.19,4,17.088222331091597,content
1,18,Medal,4.39,5,15.302994259993403,content
1,19,for,7.01,3,15.969457301033337,function
1,20,his,6.51,3,16.09928494037786,function
1,21,attempt,4.85,7,16.62675435471289,content
1,22,to,7.43,2,16.91446344341068,function
1,23,assist,4.42,6,14.978218094520454,content
1,24,a,7.36,1,17.012603623299032,function
1,25,downed,3.3,6,14.028825706615509,content
1,26,radio,5.01,5,14.833023461356037,content
1,27,man,5.82,3,34.33348270861663,content
2,0,president,5.45,9,15.1813433638015,content
2,1,Clinton,4.57,7,15.714715222714139,content
2,2,awarded,4.35,7,15.24416793823108,content
2,3,him,6.11,3,16.498273683489924,function
2,4,the,7.73,3,15.955343716772932,function
2,5,Presidential,4.52,12,15.620160537130973,content
2,6,Medal,4.39,5,15.716891835143459,content
2,7,of,7.4,2,16.05359258969663,function
2,8,Freedom,4.86,7,12.70256154449946,content
2,9,in,7.27,2,15.454022544675086,function
2,10,early,5.43,5,18.747883805003045,content
2,11,1997,4.53,4,16.11281103190292,content
2,12,for,7.01,3,15.17011908807559,function
2,13,his,6.51,3,14.249322599494905,function
2,14,service,5.49,7,15.152282423389305,content
2,15,in,7.27,2,16.90864355050548,function
2,16,the,7.73,3,16.66908410060445,function
2,17,military,5.2,8,19.72625045406415,content
2,18,and,7.41,3,18.036266375013778,function
2,19,his,6.51,3,17.34638755209357,function
2,20,political,5.29,9,15.894961295985603,content
2,21,career,5.07,6,32.1400022209003,content
3,0,the,7.73,3,16.554722517086716,function
3,1,book,5.43,4,17.488208573578664,content
3,2,was,6.82,3,14.960862981256586,function
3,3,awarded,4.35,7,15.755777800434142,content
3,4,the,7.73,3,17.131687162478855,function
3,5,1957,4.2,4,15.41932607675942,content
3,6,Pulitzer,3.35,8,13.505483875901188,content
3,7,Prize,4.59,5,16.30376956053133,content
3,8,for,7.01,3,16.534450578064217,function
3,9,Biography,3.89,9,33.59743686289881,content
4,0,the,7.73,3,18.403351648460184,function
4,1,Foundation,4.81,10,17.54346591137028,content
4,2,has,6.37,3,18.227292320841325,function
4,3,grown,4.67,5,17.437340233037066,content
4,4,immensely,3.57,9,16.405635572567974,content
4,5,and,7.41,3,17.72548684559865,function
4,6,by,6.66,2,16.476126445642414,function
4,7,1950,4.14,4,15.949904937422046,content
4,8,had,6.33,3,16.976495521785083,function
4,9,become,5.4,6,15.749301621733252,content
4,10,national,5.51,8,17.498513774018363,content
4,11,and,7.41,3,17.684001878488125,function
4,12,international,5.36,13,15.57826281165838,content
4,13,in,7.27,2,18.82512465315855,function
4,14,scope,4.26,5,31.907137711632057,content
5,0,kennedys,2.59,8,33.12720740235454,content
5,1,other,6.16,5,20.259033444380236,function
5,2,decorations,3.76,11,14.801602918974005,content
5,3,of,7.4,2,15.572338353301458,function
5,4,the,7.73,3,17.2505560673104,function
5,5,Second,5.63,6,17.26877246968979,content
5,6,World,5.89,5,17.716649689066713,content
5,7,War,5.46,3,18.479325328444133,content
5,8,include,5.21,7,16.81822195198785,content
5,9,the,7.73,3,16.76387268259279,function
5,10,Purple,4.32,6,16.98972029970583,content
5,11,Heart,5.31,5,17.08966560949764,content
5,12,AsiaticPacific,0.0,14,41.496917840966404,content
5,13,Campaign,5.0,8,18.570386702422972,content
5,14,Medal,4.39,5,14.79038965013775,content
5,15,and,7.41,3,18.19845289408344,function
5,16,the,7.73,3,16.910033170324454,function
5,17,World,5.89,5,17.531740822165055,content
5,18,War,5.46,3,18.064299547104415,content
5,19,II,5.02,2,15.61335277587922,content
5,20,Victory,4.73,7,16.494470803114044,content
5,21,Medal,4.39,5,33.31149025240706,content
6,0,sir,5.06,3,17.216019199294735,content
6,1,Andrew,4.57,6,16.564127904297102,content
6,2,Fielding,3.49,8,14.347285293287568,content
6,3,Huxley,3.01,6,31.291809928207854,content
6,4,OM,3.55,2,15.710609652872742,content
6,5,FRS,2.69,3,16.401895981807613,content
6,6,born,5.09,4,17.18209871709976,content
6,7,22,5.08,2,15.913785829018442,content
6,8,November,5.1,8,16.0258001933172,content
6,9,1917,3.87,4,17.195074464142056,content
6,10,Hampstead,3.04,9,15.23888187947416,content
6,11,London,5.27,6,16.315701028917584,content
6,12,England,5.12,7,14.97675830577993,content
6,13,UK,5.12,2,18.98437233269027,content
6,14,is,7.07,2,16.195097163104137,function
6,15,a,7.36,1,16.386539994877374,function
6,16,British,5.18,7,17.7556360922255,content
6,17,physiologist,2.55,12,56.57994629050627,content
6,18,and,7.41,3,16.34537973101168,function
6,19,biophysicist,1.49,12,58.529067636501296,content
6,20,who,6.34,3,14.411656335713706,function
6,21,won,5.2,3,15.64144648586296,function
6,22,the,7.73,3,16.38123880164718,function
6,23,1963,4.25,4,14.950886611645336,content
6,24,Nobel,3.84,5,14.422090867106855,content
6,25,Prize,4.59,5,15.943603493094434,content
6,26,in,7.27,2,14.93528984900389,function
6,27,Physiology,3.61,10,13.97217874900492,content
6,28,or,6.54,2,16.396900229765347,function
6,29,Medicine,4.73,8,15.17142478036094,content
6,30,for,7.01,3,14.79992161657917,function
6,31,his,6.51,3,15.94611031221341,function
6,32,work,5.96,4,15.528242001620233,content
6,33,with,6.85,4,16.324344189019346,function
6,34,Alan,4.45,4,17.520846753128804,content
6,35,Lloyd,4.03,5,18.629204769018052,content
6,36,Hodgkin,2.63,7,68.76890297405266,content
6,37,on,6.91,2,15.548787737022908,function
6,38,the,7.73,3,17.308794896337375,function
6,39,basis,4.81,5,14.618782609384425,content
6,40,of,7.4,2,15.88245471761486,function
6,41,nerve,4.19,5,16.37407744406525,content
6,42,action,5.25,6,14.3747392278101,content
6,43,potentials,3.09,10,31.04147886091799,content
6,44,the,7.73,3,18.55026198054961,function
6,45,electrical,4.42,10,15.52844287735644,content
6,46,impulses,3.29,8,28.15817320886852,content
6,47,that,7.01,4,17.19723181451448,function
6,48,enable,4.3,6,16.193418612431714,content
6,49,the,7.73,3,17.536999363697838,function
6,50,activity,4.86,8,12.779047044852375,content
6,51,of,7.4,2,16.051286646313862,function
6,52,an,6.53,2,16.287334898414876,function
6,53,organism,3.59,8,17.063568274125114,content
6,54,to,7.43,2,17.122962826565885,function
6,55,be,6.79,2,16.182865756974774,function
